year,metabolite,siteID,country,city,mon,tue,wed,thu,fri,sat,sun
2021,cocaine,SE001,SE,Gävle,183.4,105.36,100.69,85.95,122.94,267.63,328.93
2021,cocaine,SE003,SE,Sandviken,77.71,21.32,78.15,70.69,106.78,142.72,216.51
2021,cocaine,SE004,SE,Söderhamn,43.3,33.8,0,26.87,37.84,86.2,89.51
2021,cocaine,SE005,SE,Stockholm (2),183.83,138.85,97.87,101.76,147.28,227.98,216.79
2021,cocaine,SE008,SE,Uppsala,72.22,53.92,56.44,70.12,69.18,106.09,111.85
2021,cocaine,SI001,SI,Domžale-Kamnik,193.2,193.17,198.33,203.61,268.75,383.04,353.51
2021,cocaine,SI002,SI,Koper,403.88,352.03,367.44,416.03,340.95,430.32,535.2
2021,cocaine,SI003,SI,Ljubljana,430.66,0,522.77,164.96,329.45,343.41,381.15
2021,cocaine,SI004,SI,Maribor,232.67,90.22,86.95,104.43,137.81,213.6,225.12
2021,cocaine,SI005,SI,Novo mesto,189.84,158.34,139.34,151.97,197.15,271.51,241.56
2021,cocaine,SI006,SI,Velenje,173.08,148.28,198.32,211.72,302.06,336.52,300.94
2021,cocaine,SK002,SK,Bratislava C,127.7,128.54,44.66,56.7,54.53,39.05,82
2021,cocaine,SK004,SK,Piestany,4.69,25.24,12.31,18.19,12.65,6.33,4
2021,cocaine,TR001,TR,Adana,7.31,6.8,6.43,4.98,5.2,4.19,05.02
2021,cocaine,TR003,TR,Istanbul (II-VII),44.71,51.62,55.9,57.25,54.39,64.33,48.98
2021,MDMA,AT001,AT,Graz,10.14,7.83,5.82,4.53,5.27,16.56,17.37
2021,MDMA,AT002,AT,Hall-Wattens,4.38,3.45,2.2,1.54,1.91,7.78,8.64
2021,MDMA,AT004,AT,Innsbruck,15.12,9.26,7.43,6.87,8.39,23.77,31.21
2021,MDMA,AT005,AT,Kapfenberg,10.31,1.82,2.39,2.33,1,3.72,3.55
2021,MDMA,AT007,AT,Kufstein,02.03,1.14,1.14,2.16,2.57,2.13,10.35
2021,MDMA,AT010,AT,Purgstall,4.92,1.28,1.8,8.73,5.53,1.57,4.97
2021,MDMA,AT008,AT,Region Millstättersee,0,0,0,0,0,0,0
2021,MDMA,AT011,AT,Strass im Zillertal,7.83,4.81,2.69,2.95,4.42,5.99,11.41
2021,MDMA,AT003,AT,Wasserverband Hofsteig,7.39,6.53,19.44,3.48,3.63,5.36,19.11
2021,MDMA,BE002,BE,Antwerp Zuid,166.42,64.79,65.76,59.44,62.43,96.55,131.84
2021,MDMA,BE005,BE,Brussels,30.18,17.19,11.72,11.66,15.26,37.04,52.58
2021,MDMA,CH001,CH,Basel,15.41,10.75,11.65,11.37,10.06,23.11,41.19
2021,MDMA,CH002,CH,Berne,13.52,23.58,11.71,11.84,11.48,27.17,35.02
2021,MDMA,CH003,CH,Geneva,0,0,13.69,13.06,17.35,0,0
2021,MDMA,CH007,CH,St. Gallen Hofen,21.68,15.73,13.47,10.5,16.76,28.41,22.43
2021,MDMA,CH008,CH,Zurich,32.7,17.16,13.99,10.16,14.01,42.62,60.94
2021,MDMA,CY001,CY,Agia Napa,20.44,27.25,4.33,7.96,2.87,29.42,107.48
2021,MDMA,CY002,CY,Larnaca,1.62,0.39,0.39,0.39,0.39,01.08,4.71
2021,MDMA,CY003,CY,Limassol,4.66,02.03,2.2,2.23,2.96,4.66,7.12
2021,MDMA,CY005,CY,Nicosia (2),5.25,3.5,2.95,2.46,1.84,1.99,5.4
2021,MDMA,CY007,CY,Paphos,1.63,0.38,0.39,0.38,0.39,3.83,6
2021,MDMA,CZ001,CZ,Brno,51.92,27.94,14.78,14.52,11.9,16.64,46.83
2021,MDMA,CZ002,CZ,Budweis,19.74,14.14,11.49,14.93,14.97,11.49,24.22
2021,MDMA,CZ003,CZ,Karlovy Vary,0,0,0,0,0,0,0
2021,MDMA,CZ004,CZ,Ostrava,4.55,0.03,9.47,8.47,6.9,18.91,23.84
2021,MDMA,CZ005,CZ,Prague (2),25.09,20.47,13.37,13.91,18.7,33.5,61.15
2021,MDMA,DE008,DE,Chemnitz,11.52,09.05,7.94,0,2.99,04.03,9.49
2021,MDMA,DE009,DE,Dortmund,24.44,12.39,11.5,0,10.89,22.96,17.53
2021,MDMA,DE010,DE,Dresden,13.34,10.89,9.78,8.59,10.44,26.16,9.87
2021,MDMA,DE011,DE,Dülmen,17.54,8.81,08.01,6.56,7.79,27.17,24.74
2021,MDMA,DE012,DE,Erfurt,20.69,14.19,13.41,0,14.41,22.71,18.67
2021,MDMA,DE023,DE,Magdeburg,16.61,13.54,08.05,7.19,7.97,16,25.36
2021,MDMA,DE026,DE,Munich Gut Großlappen,24.74,11.23,7.83,0,5.73,19.05,13.13
2021,MDMA,DE028,DE,Nuremberg,13.38,10.32,9.77,0,8.17,15.16,14.11
2021,MDMA,DE030,DE,Saarbrücken (2),34.13,29.13,75.68,0,20.99,23.27,28.6
2021,MDMA,DK001,DK,Copenhagen,37.13,23.73,18.06,18.19,18.31,56.83,70.31
2021,MDMA,DK002,DK,Odense,12.74,11.79,6.84,8.68,11.85,13.58,14.17
2021,MDMA,ES001,ES,Barcelona,33.78,22.6,15.11,14.36,16.72,29.97,45.46
2021,MDMA,ES002,ES,Castellon,3.47,0,0,0,2.43,5.42,11.95
2021,MDMA,ES005,ES,Santiago,11.43,12.17,13.68,24.29,12.47,21.41,29.01
2021,MDMA,ES006,ES,Tarragona,6.58,6.14,4.85,4.31,4.75,6.52,10.99
2021,MDMA,ES007,ES,Valencia (3),24.27,18.86,5.65,16.18,18.86,12.91,14.28
2021,MDMA,FI001,FI,Espoo,23.56,12.28,9.59,9.67,11.07,26.1,40.15
2021,MDMA,FI003,FI,Helsinki,26.91,14.77,11.77,9.42,9.55,34.66,50.7
2021,MDMA,FI024,FI,Tampere,16.98,10.48,9.36,8.42,13.39,32.89,34.9
2021,MDMA,FI025,FI,Turku,18.41,10.85,5.33,4.7,7.22,25.87,29.1
2021,MDMA,FR005,FR,Paris Seine Centre,44.02,32.05,26.01,23.46,21.62,53.77,197.72
2021,MDMA,GB001,GB,Bristol,30.68,18.94,10.92,0,0,11.05,25.04
2021,MDMA,GR001,GR,Athens,3.74,3.61,3.18,2.81,2.98,3.66,3.71
2021,MDMA,HR001,HR,Zagreb,33.83,18.32,15.67,12.81,16.54,49.37,51.31
2021,MDMA,IT001,IT,Bozen,1.67,1.14,01.02,0.91,0.87,1.96,1.94
2021,MDMA,IT002,IT,Milan,4.63,1.66,1.61,0.98,1.64,2.2,5.25
2021,MDMA,LT001,LT,Kaunas,18.66,12.48,19.45,14.42,14.65,22.45,21.47
2021,MDMA,LT002,LT,Klaipeda,11.49,5.63,7.64,06.05,4.48,3.94,11.77
2021,MDMA,LT003,LT,Vilnius,15.82,13.06,11.83,0,10.84,27.85,43.18
2021,MDMA,LV001,LV,Riga,28.21,21.71,17.2,17.47,17.51,51.79,49.49
2021,MDMA,NL001,NL,Amsterdam,168.59,111.85,70.14,95.86,87.19,149.61,191.76
2021,MDMA,NL002,NL,Eindhoven,110.97,75.78,49.84,50.92,48.68,63.29,178.91
2021,MDMA,NL005,NL,Utrecht,114.65,56.88,81.17,47,52.91,140.32,214.05
2021,MDMA,NO001,NO,Oslo,14.04,22.1,22.22,17.78,44.71,40,54.98
2021,MDMA,PL003,PL,Krakow P,35.8,20.04,18.6,32.63,32.57,88.52,80.73
2021,MDMA,PT001,PT,Almada,21.57,17.36,11.38,12.21,14.67,25.92,39.59
2021,MDMA,PT002,PT,Lisbon,71.04,27.58,25.71,23.15,25.21,65.39,102.69
2021,MDMA,PT003,PT,Porto,11.55,10.64,8.87,5.35,3.13,5.62,11.08
2021,MDMA,SE001,SE,Gävle,12.23,6.77,11.24,7.46,06.04,25.61,25.57
2021,MDMA,SE003,SE,Sandviken,2.25,1.36,6.12,5.22,3.78,3.77,11.17
2021,MDMA,SE004,SE,Söderhamn,16.42,18.97,0,10.4,7.4,6.39,17.16
2021,MDMA,SE005,SE,Stockholm (2),19.91,132.49,8.36,7.35,10.42,26.97,28.93
2021,MDMA,SE008,SE,Uppsala,12.34,7.88,4.52,4.35,8.61,14.97,16.14
2021,MDMA,SI001,SI,Domžale-Kamnik,6.37,3.48,1.93,02.04,4.13,13.18,13.2
2021,MDMA,SI002,SI,Koper,10.16,5.6,3.84,4.42,03.06,7.37,10.52
2021,MDMA,SI003,SI,Ljubljana,12.96,0,4.55,5.21,4.91,2.93,10.93
2021,MDMA,SI004,SI,Maribor,15.49,5.19,03.03,3.3,5.26,8.15,7.6
2021,MDMA,SI005,SI,Novo mesto,3.83,2.6,5.59,3.37,2.42,7.45,6.86
2021,MDMA,SI006,SI,Velenje,7.31,3.23,5.51,09.08,10.73,8.84,12.79
2021,MDMA,SK002,SK,Bratislava C,8.96,5.95,1.55,3.66,2.54,1.6,6.4
2021,MDMA,SK004,SK,Piestany,1.71,4.14,0.57,2.46,1.58,1.58,2
2021,MDMA,TR001,TR,Adana,19.54,12.14,11.55,9.3,11.12,18.26,13.84
2021,methamphetamine,AT001,AT,Graz,9.33,15.66,12.44,11.24,14.99,9.33,18.66
2021,methamphetamine,AT002,AT,Hall-Wattens,4.64,5.18,4.84,1.54,1.91,4.95,4.63
2021,methamphetamine,AT004,AT,Innsbruck,6.63,12.35,2.97,4.35,4.87,4.87,4.54
2021,methamphetamine,AT005,AT,Kapfenberg,2.22,0.91,0.92,01.06,1,1.16,4.18
2021,methamphetamine,AT007,AT,Kufstein,0.92,1.14,1.14,0.9,01.07,0.71,2.98
2021,methamphetamine,AT010,AT,Purgstall,3.83,3.58,1.8,1.25,1.38,1.57,5.2
2021,methamphetamine,AT008,AT,Region Millstättersee,0,0,0,0,0,0,0
2021,methamphetamine,AT011,AT,Strass im Zillertal,7.37,9.62,2.94,4.67,5.3,05.09,4.51
2021,methamphetamine,AT003,AT,Wasserverband Hofsteig,0,0,0,0,0,0,0
2021,methamphetamine,BE002,BE,Antwerp Zuid,48.92,50.31,268.72,66.69,48.24,76.73,87.77
2021,methamphetamine,BE005,BE,Brussels,17.46,19.21,13.5,15.63,17.01,20.11,20.13
2021,methamphetamine,CH001,CH,Basel,32.77,46.22,52.92,51.14,77.14,57.66,57.37
2021,methamphetamine,CH002,CH,Berne,36.33,48.3,52.26,39.15,33.5,37.04,49.79
2021,methamphetamine,CH003,CH,Geneva,0,0,16.25,14.84,17.62,0,0
